Name,Review,Genre,Tags,Developer,Publisher,Price,release_date,Total Number Of Reviews
Winter Memories,Overwhelmingly Positive,"['Adventure, Casual, RPG, Simulation']","['Single-player', 'Steam Cloud']",Dojin Otome,Kagura Games,2.0,2024-01-06,3261.0
Thymesia,Very Positive,['Action'],"['Single-player', 'Steam Achievements']",OverBorder Studio,Team17,7.49,2022-08-18,5528.0
"Warhammer 40,000: Inquisitor - Martyr",Mostly Positive,"['Action, Adventure, Indie, RPG']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards']",NeocoreGames,NeocoreGames,4.59,2018-06-05,16663.0
STAR WARS™ Empire at War - Gold Pack,Overwhelmingly Positive,['Strategy'],"['Single-player', 'Online PvP', 'Steam Cloud']",Petroglyph,LucasArts,3.67,2006-02-16,29224.0
Captain of Industry,Very Positive,"['Indie, Simulation, Strategy, Early Access']","['Single-player', 'Steam Cloud']",MaFi Games,MaFi Games,9.59,2022-05-31,4418.0
Albion Online,Mostly Positive,"['Massively Multiplayer, RPG, Free to Play']","['MMO', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']",Sandbox Interactive GmbH,Sandbox Interactive GmbH,0.0,2017-07-17,68715.0
Planet Zoo,Very Positive,"['Casual, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'HDR available']",Frontier Developments,Frontier Developments,20.99,2019-11-05,63914.0
Sleeping Dogs: Definitive Edition,Very Positive,"['Action, Adventure, Racing']","['Single-player', 'Steam Achievements', 'Steam Leaderboards', 'Remote Play on Tablet', 'Remote Play on TV']",United Front Games,Square Enix,2.39,2014-10-08,51749.0
FINAL FANTASY VII EVER CRISIS,Mixed,"['Adventure, RPG']","['Single-player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']",Square Enix,Square Enix,0.0,2023-12-07,1129.0
Fallout: New Vegas,Overwhelmingly Positive,"['Action, RPG']","['Single-player', 'Steam Achievements', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet']",Obsidian Entertainment,Bethesda Softworks,1.49,2010-10-22,153944.0
"STAR WARS™ Battlefront II (Classic, 2005)",Very Positive,['Action'],"['Single-player', 'Online PvP', 'Steam Cloud']",Pandemic Studios,Lucasfilm,2.02,2005-11-01,43514.0
ARMORED CORE™ VI FIRES OF RUBICON™,Very Positive,['Action'],"['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",FromSoftware Inc.,FromSoftware Inc.,39.99,2023-08-25,49810.0
V Rising,Very Positive,"['Action, Adventure, Massively Multiplayer, Early Access']","['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Steam Cloud']",Stunlock Studios,Stunlock Studios,10.49,2022-05-17,67495.0
World of Tanks,Very Positive,"['Action, Massively Multiplayer, Simulation, Free to Play']","['MMO', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']",Wargaming Group Limited,Wargaming Group Limited,0.0,2021-04-29,73168.0
Game of Thrones Winter is Coming,Mixed,"['Massively Multiplayer, RPG, Simulation, Strategy, Free to Play']","['MMO', 'Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases']",YOUZU (SINGAPORE) PTE. LTD.,YOUZU (SINGAPORE) PTE. LTD.,0.0,2019-11-14,2253.0
Borderlands 3,Very Positive,"['Action, RPG']","['Single-player', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Gearbox Software,2K,59.99,2020-03-13,99789.0
Limbus Company,Very Positive,"['Action, RPG, Strategy']","['Single-player', 'In-App Purchases']",ProjectMoon,ProjectMoon,0.0,2023-02-27,27888.0
