Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
Torment: Tides of Numenera,Very Positive,(10),"['Adventure, Indie, RPG, Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Remote Play on Tablet']","['Adventure, Indie, RPG, Strategy']",inXile Entertainment,inXile Entertainment,"26 Jan, 2016",https://store.steampowered.com/app/272270/Torment_Tides_of_Numenera/?snr=1_7_7_7000_150_13,$4.49
Streets of Rogue,Very Positive,(116),"['Action, Adventure, Indie, RPG']","['Single-player', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']","['Action, Adventure, Indie, RPG']",Matt Dabrowski,tinyBuild,"12 Jul, 2019",https://store.steampowered.com/app/512900/Streets_of_Rogue/?snr=1_7_7_7000_150_13,$10.49
Command & Conquer 3: Tiberium Wars,Very Positive,(80),['Strategy'],['Single-player'],['Strategy'],EA Los Angeles,Electronic Arts,"28 Mar, 2007",https://store.steampowered.com/app/24790/Command__Conquer_3_Tiberium_Wars/?snr=1_7_7_7000_150_13,$14.99
Software Inc.,Very Positive,(120),"['Indie, Simulation, Strategy, Early Access']","['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']","['Indie, Simulation, Strategy, Early Access']",Coredumping,Coredumping,"1 May, 2015",https://store.steampowered.com/app/362620/Software_Inc/?snr=1_7_7_7000_150_13,$11.50
Record of Lodoss War-Deedlit in Wonder Labyrinth-,Very Positive,(45),"['Action, Indie']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Action, Indie']",Team Ladybug,WSS playground,"27 Mar, 2021",https://store.steampowered.com/app/1203630/Record_of_Lodoss_WarDeedlit_in_Wonder_Labyrinth/?snr=1_7_7_7000_150_13,$14.99
Street Fighter V,Mixed,(134),['Action'],"['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",['Action'],"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","16 Feb, 2016",https://store.steampowered.com/app/310950/Street_Fighter_V/?snr=1_7_7_7000_150_13,$19.99
Trombone Champ,Overwhelmingly Positive,(144),"['Casual, Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","['Casual, Indie']",Holy Wow Studios LLC,Holy Wow Studios LLC,"16 Sep, 2022",https://store.steampowered.com/app/1059990/Trombone_Champ/?snr=1_7_7_7000_150_13,$7.99
TEVI,Very Positive,(161),"['Action, Adventure, Casual, Indie']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Remote Play on TV']","['Action, Adventure, Casual, Indie']",CreSpirit,CreSpirit,"30 Nov, 2023",https://store.steampowered.com/app/2230650/TEVI/?snr=1_7_7_7000_150_13,$11.00
Perfect Heist 2,Very Positive,(67),"['Action, Casual, Indie, Strategy']","['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Workshop', 'Stats', 'Steam Leaderboards', 'Includes level editor']","['Action, Casual, Indie, Strategy']",yeswecamp,yeswecamp,"10 Dec, 2021",https://store.steampowered.com/app/1521580/Perfect_Heist_2/?snr=1_7_7_7000_150_13,$9.99
To The Core,Very Positive,(96),"['Adventure, Casual, Indie']",['Single-player'],"['Adventure, Casual, Indie']",SomethingExtra,SomethingExtra,"10 Aug, 2023",https://store.steampowered.com/app/1988550/To_The_Core/?snr=1_7_7_7000_150_13,$7.99
Mass Effect™: Andromeda Deluxe Edition,Mostly Positive,(170),"['Action, RPG']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards']","['Action, RPG']",BioWare,Electronic Arts,"20 Mar, 2017",https://store.steampowered.com/app/1238000/Mass_Effect_Andromeda_Deluxe_Edition/?snr=1_7_7_7000_150_14,$39.99
Pillars of Eternity II: Deadfire,Very Positive,(108),['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet']",['RPG'],Obsidian Entertainment,Versus Evil,"8 May, 2018",https://store.steampowered.com/app/560130/Pillars_of_Eternity_II_Deadfire/?snr=1_7_7_7000_150_14,$18.99
