,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
158,My Heart Belongs to Daddy,Eartha Kitt,torch song,1956,2024‑02‑02,99,13,-11,17,40,184,87,4,50
159,I've Never Been In Love Before,Lorez Alexandria,contemporary vocal jazz,1964,2024‑02‑02,140,16,-16,11,65,138,89,5,50
160,A Hundred Dreams from Now,Ray Bryant,jazz piano,1960,2024‑02‑02,182,6,-20,11,30,206,97,4,50
161,It Could Happen to You,Chet Baker,cool jazz,2010,2024‑02‑02,107,20,-14,10,23,173,93,3,50
162,I'm Old Fashioned,John Coltrane,bebop,1957,2024‑02‑02,79,10,-18,8,37,479,91,3,50
163,Anything Goes,Helen Merrill,vocal jazz,1955,2024‑02‑02,85,15,-17,10,44,187,94,3,51
164,Do It Again,Shirley Horn,vocal jazz,1963,2024‑02‑02,78,8,-21,36,28,178,84,6,50
165,Along Came Betty,Art Blakey,bebop,1959,2024‑02‑02,112,36,-9,14,40,369,80,3,51
166,I'm A Fool To Want You - 2006 Digital Remaster,Donald Byrd,bebop,2006,2024‑02‑02,97,8,-14,9,23,373,99,3,51
167,The Feeling Of Jazz,Duke Ellington,african-american classical,1963,2024‑02‑02,103,39,-11,8,42,330,48,3,51
168,If I Should Lose You,Nina Simone,jazz blues,1966,2024‑02‑02,82,12,-17,11,10,236,99,4,52
169,Dedicated To You,Freddie Hubbard,bebop,1964,2024‑02‑02,125,15,-15,12,9,203,99,4,52
170,Quintessence,Coleman Hawkins Quartet,jazz quartet,1963,2024‑02‑02,85,13,-16,9,13,285,96,3,52
171,Softly As In A Morning Sunrise - Remastered 2001/Rudy Van Gelder Edition,Sonny Clark Trio,bebop,1958,2024‑02‑02,127,20,-15,14,45,394,94,5,53
172,Chicago,Benny Goodman,adult standards,1997,2024‑02‑02,161,28,-11,16,78,180,94,5,53
173,Solar - Rudy Van Gelder Remaster,Miles Davis Quintet,bebop,1957,2024‑02‑02,84,18,-18,7,70,283,86,5,53
174,Remember - 1999/ Remastered,Hank Mobley,bebop,1960,2024‑02‑02,165,40,-9,28,70,342,79,5,53
175,Moon River,Vince Guaraldi Trio,jazz trio,2010,2024‑02‑02,191,16,-20,14,27,321,99,4,53
